title,creator,date,description,subjects,publisher,identifier,rights,source,format,type,datedig,language,pub-type,number,object-id
"Effects of plant nutrients on yield and quality of tomatoes in Southwestern Idaho (081, Research Bulletin, 1971)","Painter, Charles G.; Simpson, William Ray; Parks, F.P.",1971-10-01,"12 p., Idaho Agricultural Experiment Station, Research Bulletin 81, October 1971",crop quality; crop yield; plant nutrition; tomatoes; Tomatoes--Idaho--Nutrition; Tomatoes--Fertilizers--Idaho,Idaho Agricultural Experiment Station,uie_rb81,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),081,493
"Relationship of initial wool fineness, medullation, and variability to qualtiy of the mature fleece (079, Research Bulletin, 1971)","Wilson, Lowell O.",1971-06-01,"12 p., Idaho Agricultural Experiment Station, Research Bulletin 79, June 1971",wool; Wool; Wool--Growth,Idaho Agricultural Experiment Station,uie_rb79,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Research Bulletin (University of Idaho. College of Agriculture),079,519
"Life history studies on a Willow Leaf Beetle Altica bimarginta say in North Idaho (Coleoptera:  Chrysomelidae) (080, Research Bulletin, 1971)","Barstow, Darrel A.; Gittins, A.R.",1971-05-01,"22 p., Agricultural Experiment Station, Research Bulletin 80, May 1971",Altica; Altica;,Idaho Agricultural Experiment Station,uie_rb80,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),080,542
"Level of energy intake and efficiency of energy utilization by steers (082, Research Bulletin, 1971)","Keith, Thomas B.; Everson, Dale O.",1971-10-01,"14 p., Agricultural Experiment Station, Research Bulletin 82, October 1971",energy efficiency; energy intake; energy use and consumption; steers; Beef cattle--Feed utilization efficiency,Idaho Agricultural Experiment Station,uie_rb82,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Research Bulletin (University of Idaho. College of Agriculture),082,557
"Distribution and life history of Bathyplectes curculionis (Thomson) (Ichneumonidae:  Hymenoptera) in Northern Idaho (078, Research Bulletin, 1970; )","Foster, David E.; Bishop, Guy William;",1970-12-01,"24 p., Agricultural Experiment Station, Research Bulletin 78, December 1970",Bathyplectes curculionis; population distribution; Ichneumonidae;,Idaho Agricultural Experiment Station,uie_rb78,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),078,580
"Snow mold damage in Idaho's winter wheat (no. 200, University of Idaho College of Agriculture Bulletin, 1953)","McKay, Hugh C.; Raeder, John M.",1953-10-01,"6 p.,  Idaho Agricultural Experiment Station, Bulletin 200, October 1953.",snow molds; winter wheat; Snow mold; Wheat--Diseases and pests--Idaho,Idaho Agricultural Experiment Station,uica_b200,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),200,587
"Sun-Dried Potatoes for Fattening Steers (201, Bulletin, 1953)","Johnson, Reuben F.; Rinehart, Edward F.; Hickman, Cuthbert W.",1953,"4 p., Idaho Agricultural Experiment Station, Bulletin 201.",cattle feeding; dried foods; finishing; potatoes; steers; Beef cattle--Feeding and feeds; Potatoes--Drying; Potatoes as feed,Idaho Agricultural Experiment Station,uica_b201,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),201,592
"Idaho's portable sheep loader: Saves time, labor, and stock (203, Bulletin, 1954)","Martin, J.W.; Craig, E.S.; Messersmith, L.M.",1954-05-01,"4 p.,  Idaho Agricultural Experiment Station, Bulletin 203, May 1954.",agricultural machinery and equipment; animal transport; sheep; Sheep--Equipment and supplies,Idaho Agricultural Experiment Station,uica_b203,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),203,597
You can control noxious weeds,"Roylance, Howard B.; Seely, C.I.",1954-03-01,"4 p.,  Idaho Agricultural Extenstion Service, Bulletin 204, March 1954.",noxious weeds; weed control; Weeds--Control,University of Idaho. Agricultual Extension Service,uica_b204,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Libra",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),204,602
"2, 4-D for weed control in cereal crops","Seely, C.I.; Roylance, Howard B.",1954-03-01,"6 p.,  Idaho Agricultural Experiment Station, Bulletin 205, March 1954.","2,4-D; grain crops; weed control; Dichlorophenoxyacetic acid;",Idaho Agricultural Experiment Station,uica_b205,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),205,609
