title,description,creator,date,subjects,location,longitude,latitude,format,type,object-id
Arbor Notes February 1990,This February publication includes the subject headings: Lemhi Penstemon story; Mark your calendars; Upcoming Workshops; Ill wind blows; New plants in the Arboretum; Executive Committee Report; 1989 Annual Meeting; Arboretum Associates plan to grow; Bulletin board; Shattuck Info sheet; Gratitude List,"Kochan, Walter; Naskali, Richard; Renfrew, Malcolm; Steele, Bob",1990-02,associations; arboretums; Scrophulariaceae (family); workshops (seminars),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721642,-117.015650,Newsletter,text,0
Arboretum Associates Newsletter August 1992,"This August publication includes information about the history of the Arboretum, special projects undertaken in the last year, looking forward into future years, and a report on fiscal matters.","Kochan, Walter; Naskali, Richard; Renfrew, Malcolm; Steele, Bob",1992-08-15,associations; arboretums; group organizations;,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721432,-117.015979,Newsletter,text,1
Arboretum Associates Newsletter February 1993,"This February publication includes information about proposed amendments and changes to the Arboretum Association Constitution and Bylaws, and a message from the arboretum director. It also lists financial contributors to the association between November 1, 1992, and January 31, 1993.","Kochan, Walter; Naskali, Richard",1993-02-20,associations; arboretums; constitutions; bylaws (administrative records),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721727,-117.015604,Newsletter,text,2
Arboretum Associates Newsletter May 1993,"This May publication includes information about the annual meeting from the Arboretum Associate's President, a message from the Arboretum Director, and a list of contributors between the time period of February 1 though April 30, 1993.","LeTourneau, Duane; Naskali, Richard",1993-05+20,associations; arboretums; officers (administrators),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724621,-117.014013,Newsletter,text,3
Arboretum Associates Newsletter November 1992,"This November publication includes information about the Botanical History of the Pacific Northwest, which nurseries have donated special trees to the arboretum, which birds have been spotted in the arboretum ponds, updates on the entry sign projects, and a list of contributors who made donations since the August 15, 1992 Newsletter.","Naskali, Richard",1992-11-10,associations; arboretums; botanical gardens; signage,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721094,-117.015909,Newsletter,text,4
Arboretum Associates Newsletter August 1993,"This August publication includes information about the new executive committee for the Arboretum Associates, the Centennial Endowment Fund, and a message from the Director of the Arboretum about plant growth and fauna and fowl usage of the space.","LeTourneau, Duane; Naskali, Richard",1993-08-15,associations; arboretums; grants; endowments,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722551,-117.014863,Newsletter,text,5
Arboretum Associates Newsletter February 1994,"This February publication includes a message from the Arboretum Associates' President, a message from the Arboretum Director, corrections to previous publications, a list of contributors for the previous fiscal year, and a calendar of events for the upcoming spring months.","LeTourneau, Duane; Naskali, Richard",1994-02-28,associations; arboretums; planting; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724567,-117.012942,Newsletter,text,6
Arboretum Associates Newsletter May 1994,"This May publication includes a message from the Arboretum Associates' President, a message from the Arboretum Director, and a list of contributors between the time period February 1 through April 30, 1994, as well as a thank you for continued support of the Arboretum and Botanical Gardens.","LeTourneau, Duane; Naskali, Richard",1994-05-25,associations; arboretums; botanical gardens; signage; planting,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722107,-117.014624,Newsletter,text,7
Arboretum Associates Newsletter November 1993,"This November publication includes information about approved budget proposals, growing plant collections, the approval to publish Arbornotes once annually as an annual report for Arboretum Associates, updates on memorial groves and commemorative trees, and the creation and support of an Arboretum reference library.","LeTourneau, Duane; Naskali, Richard",1993-11-15,associations; arboretums; botanical gardens,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722336,-117.015041,Newsletter,text,8
Arboretum Associates Newsletter August 1994,"This August publication includes information about the creation of a faculty Advisory Board for the Arboretum and Botanical Gardens, a call for volunteers to lead guided tours in the botanical gardens, an update on projects going on in the arboretum, the potential removal of the Fleiger house from the arboretum, plans for irrigation systems, and a list of individuals and families that made contributions during the period April 30 through June 30 of 1994.","LeTourneau, Duane; Naskali, Richard",1994-08-15,associations; arboretums; newsletters; botanical gardens; irrigation systems; construction,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722295,-117.014436,Newsletter,text,9
