title,description,subjects,date,source,latitude,longitude,format-original,format,type,rights,object-id
"Len Walker, University of Idaho boxer Pacific Coast and National boxing champion","Len Walker, University of Idaho boxer Pacific Coast and National boxing champion - Len Walker, 145, junior, Wallace, one letter, 5' 8"""", Pacific Coast and national champion at 135.  [Date: 1950]",boxers; boxing; national championships,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",0
"Frank Young, University of Idaho boxing coach","Frank Young, University of Idaho boxing coach - Frank Young, Boxing Coach [Date: 1950]",boxing coach; equipment,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",1
Pacific Coast Intercollegiate Boxing champions 1947,"Pacific Coast Intercollegiate Boxing champions 1947 - Left to Right: Art Neumayer Gonzaga University, 125 lb.; Jack Nelson, WSC, 130 lb.; Ray Engberson UI, 135 lb.; Bob Anderson San Jose State College, 145 lb.; I. F. Toomey, Director of Athletes, Cal Aggies; Herb Carlson UI, 155 lb.; Wayne Fontes San Jose State, 165 lb.; Laune Erickson UI, 175 lb. div.; John Nikcevich UCLA, Heavyweight [Date: 1947]",boxers; boxing; championships; boxing squad,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",,,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",2
1952-1953 University of Idaho boxing squad,"University of Idaho boxing squad - 1953; Gem pg. 263 (Harold Solinsky, Don Anderson, Ray Johnson, Fred Bowen, bob McBride, Don Houseley, Jack Webster, Ralph Snook, Herb Jeo, Lynn Nichols, and Tom Howard) [Date: 1953]",boxers; boxing; boxing squad,1953,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",3
1951-1952 University of Idaho boxing squad,"University of Idaho boxing squad - 1952; Gem pg. 163 (Front row: Jack Gray, Mike Young, Milt Walker, Harvey Mutch, Lynn Nichols, Captain Franker Echevarria, back row: Phil Ourads, Johnny Echevarria, Don Houseley, Jim Driever, Larry Moyer, Don Anderson, Fred Bowen.) [Date: 1952]",boxers; boxing; boxing squad,1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",4
1947-1948 University of Idaho boxing squad [02],1947-1948 University of Idaho boxing squad -  [Date: 1947],boxers; boxing; boxing squad,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",5
"Dale Hammond, University of Idaho boxer","Dale Hammond, University of Idaho boxer -  [Date: 1948]",boxers; boxing,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",6
John J Walsh's NCAA boxing trophy,John J Walsh's NCAA boxing trophy -  [Date: 1950],trophies; NCAA championships; boxing; boxers,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",7
"Frank Echevarria, University of Idaho boxer","Frank Echevarria, University of Idaho boxer - 1952 NCAA Champion; 119 lbs [Date: 1952]",boxing; boxers; NCAA championships,1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",8
1948 University of Idaho boxing squad,1948 University of Idaho boxing squad -  [Date: 1948],boxing squad; boxers; boxing,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",9
1950-1951 University of Idaho boxing squad,University of Idaho 1951 boxing squad -  [Date: 1951],boxers; boxing; boxing squad,1951,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",10
"Ray Engberson, University of Idaho boxer Pacific Coast champ, 1947","Ray Engberson, University of Idaho boxer Pacific Coast champ, 1947 - Ray Engberson, 135, Pacific Coast Champion, 1947 [Date: 1947]",boxers; boxing; championships,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",11
"Bill Williams, University of Idaho boxer","Bill Williams, University of Idaho boxer - signed ""Lots of Luck Perry Bill Williams"" [Date: 1948]",boxing; boxers,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",12
"Frank Echevarria, University of Idaho boxer, with trophies","Frank Echevarria, University of Idaho boxer, with trophies - 1952 NCAA Champion; 119 lbs [Date: 1952]",trophies; NCAA championships; boxing; boxers,1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",13
1942-1943 University of Idaho boxing squad,"1943 University of Idaho boxing squad - Kneeling: Bob Eachon, Watkins Kershaw.  Standing: manager Bert Dingle, Michael Barclay, Ira Hill, Jerry Williams, Jim Warren, Co-captain Vic Berllus, Merrill Barnes, Co-captain Bill Williams, Ray Jeffery, Coach Bob Knox. [Date: 1943]",boxing squad; boxing; boxers,1943,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",14
1941-1942 University of Idaho boxing squad,"1942 University of Idaho boxing squad - Vic Berllus, Warren Briggs, Chace Anderson, Watkins Kershaw, Bill Williams, George Unternahrer, Gordon Ross, Tom Wells, Coach Bob Knox. [Date: 1942]",boxing squad; boxing; boxers,1942,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",15
Unidentified University of Idaho boxer,Unidentified University of Idaho boxer -  [Date: 1948],boxing; boxers,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,2.5x5 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",16
