itemlink,object-id,subjects,contributors,type,title,format,coverage,language,description,source,latitude,longitude,image-hash,date,creator
http://omeka.cdil.us/api/items/112,112,sawmill;  logging;  buildings;  lumber;  mills,Gary Strong; Grant Maierhofer,image; still image,The Last of the Old Landmark Pioneer's Cabin,black and white photograph,"Potlatch, Idaho",eng,"Image of Old Landmark Pioneer's Cabin burning in preparation for mill. Mill site, Potlatch, ID. Potlatch Lumber Co.",Potlatch Historical Society,-116.9028287,46.92643976,,9/22/1905,H.W.W.
http://omeka.cdil.us/api/items/113,113,Horses;  Ponds;  Buildings;  Construction,John MacPhereson; Gary Strong,image;stillimage,Excavating For Pond,black and white photograph.,"Potlatch, Idaho",Eng,The diversion of the Palouse River by horse teams excavating for the Mill pond.,Potlatch Historical Society,-116.9028139,46.9265863,cace28d7ac9d4b8fd0f0457926a56743e0006e7d.jpg,12/22/1905,
http://omeka.cdil.us/api/items/114,114,sawmill;  houses;  landscape;  buildings;  logging;  lumber,Gary Strong; Zachary Williamson,image;stillimage,Saw Mill of Potlatch Lumber Co.,black and white photograph,"Potlatch, Idaho",eng,"Potlatch Saw Mill with landscape cleared, housing and town buildings in the background.",Potlatch Historical Society,-116.903066,46.92655699,af02a9762f8248dfcd976c0bb5f7ee18550107f6.jpg,4/17/1906,
http://omeka.cdil.us/api/items/115,115,horses;  fields;  road;  town;  railway;  railroads,Shannon Dryden; Gary Strong,image;stillimage,Rider Approaches Potlatch From the Distance,black and white photograph,"Potlatch, Idaho",eng,"A single rider on horseback approaches the east side of Potlatch from the direction of the mill site, with Residence Hill in the background.",potlatch historical society,-116.9028213,46.92048981,06cb3e0780fac104de0b1799ad8eac69e8607fce.jpg,4/20/1906,
http://omeka.cdil.us/api/items/116,116,Trees;  Railroad;  Construction;  Steam,John MacPhereson; Gary Strong,image;stillimage,Mill Yard,black and white photograph.,"Potlatch, Idaho",Eng,The mill yard with the railroad and construction. The west end looking south.,Potlatch Historical Society,-116.9039726,46.9272897,e16fb88e47f879ec325dc8ffe183d7af94ed8d6c.jpg,4/20/1906,
http://omeka.cdil.us/api/items/117,117,people;  employees;  equipment;  company;  group,Gary Strong; Zachary Williamson,image;stillimage,workers excavating for power plant looking east,Black and white photograph,"Potlatch, Idaho",eng,"Several workers excavating for power plant looking east, with wheelbarrows filled with dirt.",Potlatch Historical Society,-116.9045681,46.92661561,cc2fe703fe78e86fd12b9386bd4f23e071322696.jpg,11/21/1905,
http://omeka.cdil.us/api/items/118,118,Railroad;  Sawmill;  Buildings;  Fields,John MacPhereson; Gary Strong,image;stillimage,Mill and Yard,black and white photograph,"Potlatch, Idaho",Eng,The potlatch lumber mill and yard looking south east.,Potlatch Historical Society,-116.9051743,46.92714316,7b768509912387556bcb708390af8a575ec738a6.jpg,4/20/1906,
http://omeka.cdil.us/api/items/119,119,horses;  mills;  history;  construction,Shannon Dryden; Gary Strong,image;stillimage,Building the Foundation for the Potlatch Mill Site,black and white photograph,"Potlatch, Idaho",eng,"The foundation of the Potlatch mill under construction. In the foreground, a man mixes concrete in a horse-drawn crate.",Potlatch Historical Society,,,d5a0d89d14c6a27f6a542ea7dfe4c5338187c17d.jpg,11/21/1905,
http://omeka.cdil.us/api/items/120,120,sawmills;  mills;  lumber;  buildings,Gary Strong; Grant Maierhofer,"image, still image",Pioneer's Cabin,black and white photograph,"Potlatch, Idaho",eng,Pioneer's cabin on future site of Potlatch mill.,Potlatch Historical Society,,,183410fbd21b1a755a4817b4ad5deb96990ee2ae.jpg,,
http://omeka.cdil.us/api/items/123,123,development;  landscape,Gary Strong; Joseph Perreault,image;stillimage,Town of Potlach April 17th 1906,black and white photograph,"Potlatch, Idaho",Eng,View of the town of Potlatch,Potlatch Historical Society,-116.9134984,46.91591699,a71282ffe44f5921aa75e41fa3de5426c455c5f8.jpg,4/17/1906,H. W. W.
