Title	Creator	Description	Date	Subject	Keywords	Relation	Contributing Institution	Publisher Digital	Digital Collection Website	Source	Identifier	Publisher	Format Original	Type	Format	Digitization Specifications	Rights	Language	Date Digital	Coverage	Latitude	Longitude	Full text	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														7- 1'3 - f5  Orofino, Idaho  11:45 a.m.  Interests here strong for immediate introduction of Bruce's  Eddy project. People wonder why hesitancy and feel our best  opportunity lies with bill for partnership. Will be difficult  to explain why no bill offered. We urge consideration of  administration bill which would force identification of those  opposed. 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/0	0	1.pdfpage	/dworshak/image/1.pdfpage
Message from Senator Dworshak	Curtis, Bert	A message to Senator Dworshak urging for a partnership on the Bruces Eddy Bill.	1955-07-15	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;  Dworshak, Henry Clarence, 1894-1962;	Dworshak, Henry Clarence; Curtis, Bert;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-013		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/1	1	2.cpd	/dworshak/supp/1/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														SPOKAnE 10, WASHinGTOn  : ~JHE WASHinGTOn WATER POWER COmPAny  'O.~· ,., .""" ....  May 6, 1955  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino, Idaho  Dear Bert:  I have your letter of April 29. enclosing a letter from Senator  Dworshak and excerpts from General Sturgis' testimony. The Senator  sent me a copy of this same material.  I believe General Sturgis did not mean that the private companies  were not interested in building the power plant. 1 think he intended to  say that he doubted the private companies could build the entire project  unless they could receive benefits from the downstream storage. which.  of course, under the law could not be done at the present time.  There is considerable discussion going on in Washington, D. C. as  to the type of bill to be introduced. 1 think the majority of the Adrninistra­.......  tion is inclined toward a bill for government construction of the dam and  V a period of time - one or one-half years - to work out provisions with  local interests to build. own, and operate the power facilities. We have  advised them that we would be interested in this proposal since it would  permit much earlier construction than probably would Occur if we waited  for legislation to permit us to do the whole job and secure the downstream  benefits plus a contribution from the government for the flood control and  navigation features.  1 am in hopes that the Senator will decide to introduce this kind of  a bill at a rather early date so that it may have a chance of getting through  this session of Congress. This, I think, would eli.m.i.nate also a lot of the  fish problem, as the govermnent can do many things that a private company  would find hard to do.  I am returning the enclosures as 1 have copies of this material. 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/2	2	3.pdfpage	/dworshak/image/3.pdfpage
The Washington Water Power Company	Robinson, K.M.	A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.	1955-05-06	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-005		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/3	3	4.cpd	/dworshak/supp/3/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														o  March It, 1955  Major General Samuel D. Sturgis Jr.  Chief DC Engineers  Army Corps of Engineers  Washington, D. C.  Dear General Sturgis:  I have recently heard that a bill will soon be introduced  to authorize Bruce's Eddy and Penny Cliffs project on the Clear­water  River in Idaho.  li.ited information 1 have received indicates that the Army  desires to build with po~er facilities and transmission lines  developed by the Pacific ~orthwest Power Company, which utility  will pay the government Cor the use of water.  We have strongly supported these two projects in the past  and feel thal it is i.perative that Congress be urged to take  i.mediate favorable action.  I would very much appreciate any information you can give  me as to whether or not I have been correctly informed and in­formation  as to how soon this legislation may get to Congress.  The strongest support possible will come from this area for the  proposal and should a rough draft of the bill be available, we  would certainly appreciate the opportunity to look it over.  Yours very truly,  A. n. Curtis,  Mayor 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/4	4	5.pdfpage	/dworshak/image/5.pdfpage
Letter to Major General Samuel D. Sturgis Jr.	Curtis, Bert	A Letter to Major General Samuel D. Sturgis, in which, Burt Curtis discusses the proposed Bruces Eddy and Penny Cliffs Projects.	1955-03-10	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Sturgis Jr., Samuel D.; Penny Cliffs; Bruces Eddy;	MG 143 - Bert Curtis Papers	Special Colections and Archives	University of Idaho Library	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Box 3, Folder 7a	03-7a-002		Correspondence Files	Text		PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2011-05-16	2011-05-16	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/5	5	6.cpd	/dworshak/supp/5/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														IO'~ , .. 0 '0'. ,-u  I •, )  :-3JHE WASHinGTOn WATER POWER COmPAny  S PO K A n E 10, WAS H I n GTon  March 8, 1955  I  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino, Idaho  Dear Bert:  On my return to the office I was very much pleased to  receive your letter of February 28 enclosing an enlarged  photograph of the Bruces Eddy project. I am sure that our  folks will enjoy looking at this picture.  For your confidential information. and I doubt that it  should be discussed very much at this time, I understand  that the Army may very well introduce a bill in this session  of Congress authorizing both Penny Cliffs and Bruces Eddy  projects for partnership construction. While I have not had  direct information on this, it is from a fairly reliable source.  I shall be in Washington again in the next couple of weeks  and I think I will be able to get a little more information. It  may be advisable in the long run to let the federal government  build the dams and have the Pacific Northwest Power Company  build the power plants and transmission facilities. This would  eliminate a lot of delay in connection with these projects. 1  will let you know about anything definite that 1 get in this con·  nection.  Sincerely,  R.w 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/6	6	7.pdfpage	/dworshak/image/7.pdfpage
The Washington Water Power Company	Robinson, K.M.	A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.	1955-03-08	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-001		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/7	7	8.cpd	/dworshak/supp/7/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														)  Dear Mr. Curtis:  Spokane. Washington  May 11, 1955  )  I notice a typographical error in Mr. Robinson's letter to  you of May 6. It is in the fourth line of the third paragraph and  it should read: "a period of time - one or one and one-half years I',  instead of Ila period of time - one or one-half years".  I shall appreciate your making the change in Mr. Robinson's  letter.  Mary K. Walsh  Secretary to K. M. Robinson 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/8	8	9.pdfpage	/dworshak/image/9.pdfpage
Typographical error		A letter to Bert Curtis from the secretary of K.M. Robinson correcting an error	1955-05-11	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;		MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-006		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/9	9	10.cpd	/dworshak/supp/9/index.pdf
